Feature,Importance
latitude_abs,0.5070764347858391
d18o,0.26180115288434497
lith_sandstone,0.07716257492543208
lith_other,0.0456333858905086
lith_not reported,0.04294359946750383
lith_siltstone,0.02082379754115014
lith_marl,0.01256606141916555
lith_grainstone,0.0099507559942598
lith_limestone,0.007614971557216191
lith_siliciclastic,0.0063286132040542824
lith_claystone,0.004746038529435001
lith_packstone,0.002684042750720659
lith_shale,0.0006685710503699359
